App Name,Category,One-line description,Authentication method,Self Serve or Gated,API Type,API Surface,Existing MCP,Buildability Verdict,Main Blocker,Evidence URL
Plaid,Finance and Fintech,Plaid: Enabling all companies to build fintech solutions Skip to main content Products Payments Overview Explore payments solutions Auth Verified account and routing numbers Identity Bank account-holder information Balance Real-time balance,"API key, OAuth, SSO",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://plaid.com
Pylon,Support and Helpdesk,Pylon | AI-native B2B Support Register for our upcoming webinar → Pylon's biggest announcement yet Product Omnichannel Support Support modern channels AI Knowledge Management Make documentation easy AI Agents Automate complex B2B workflows,SSO,Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://usepylon.com
Attio,CRM and Sales,Attio: The system for agentic revenue Orchestrate revenue agents with the new Workflows Platform CRM Platform Ask Attio Search and create with AI AI Native to your CRM Data model Sync and enrich your data Universal Context The AI context la,"OAuth, SSO",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://attio.com
Reducto,AI Research and Media-native,Reducto: The Agentic Document Platform for AI Teams Studio API Industries Customers Resources Pricing Sign up Contact sales Studio API Industries Customers Resources Pricing Reducto leads independent benchmark on structured extraction with,"API key, SSO",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://reducto.ai
Klaviyo,Marketing Ads Email and Social,"Klaviyo: AI Email Marketing & SMS | B2C CRM Skip to main content Platform Overview The B2C CRM Discover how the Klaviyo CRM, built for your business, can help you create lasting customer relationships.",Unknown,Self Serve,Unknown,Large,Yes,Blocked,No public API or API documentation was found in the collected evidence.,https://klaviyo.com
Meta Ads,Marketing Ads Email and Social,Marketing API | Meta Build with us Docs Blog Resources Developer centers Login Ads and Commerce Ads and Commerce Overview Marketing API Marketing API Overview About Marketing API How it works Versioning Rate Limiting Data Processing Options,Unknown,Self Serve,REST,Large,Yes,Partially buildable,Authentication requirements are not clearly documented.,https://developers.facebook.com/docs/marketing-apis
Aircall,Communications and Messaging,AI-Powered Customer Communications Platform for SMBs & Enterprise | Aircall Enjoy the game with free unlimited AIVA minutes until July 19.,Unknown,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://aircall.io
Help Scout,Support and Helpdesk,"Help Scout: Intuitive & Affordable Customer Service Software Skip to content Get a 1:1 demo Start for free Product Inbox Every support channel, one place AI Scale your team's capacity Knowledge Base Build a custom help center Messages Send",SSO,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://helpscout.com
Front,Support and Helpdesk,"Front | Customer service platform — powered by AI, designed for humans Product Solutions Resources Pricing Sign in Request a demo Try for free Front Overview Product Tour What's New Use Cases Customer Service All-in-one support platform Ema","API key, OAuth, SSO",Gated,REST,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://front.com
Xero,Finance and Fintech,Accounting Software for Small Businesses | Xero Get 80% off your plan for your first 3 months* Buy now Dismiss Xero homepage Xero homepage Try Xero for free Log in Xero homepage Features Explore our accounting software Xero Accounting app J,SSO,Self Serve,Unknown,Medium,No,Blocked,No public API or API documentation was found in the collected evidence.,https://xero.com
Sentry,Developer Infra and Data Platforms,Application Performance Monitoring & Error Tracking Software | Sentry Skip to main content Menu Platform Products Error Monitoring Logs Seer Seer NEW Agent Autofix AI Code Review Session Replay Metrics NEW Tracing Profiling Size Analysis Cr,"API key, SSO",Self Serve,Unknown,Large,Yes,Blocked,No public API or API documentation was found in the collected evidence.,https://sentry.io
Intercom,Support and Helpdesk,Intercom | The only helpdesk designed for the AI Agent era Fin Log in Contact sales View demo Start free trial Product Customers Resources Pricing Log in Contact sales View demo Start free trial Fin AI Agent Our AI Agent and AI architecture,Unknown,Gated,Unknown,Large,No,Partially buildable,Access appears gated behind a sales or demo flow.,https://intercom.com
Monday.com,Productivity and Project Management,The AI Work Platform for People & Agents | monday.com AI platform ONE PLATFORM FOR ANY USE CASE Built for teams and agents working together PMO Projects & delivery Marketing Campaigns & creative Operations Processes & efficiency IT Tickets,Unknown,Gated,Unknown,Large,Yes,Partially buildable,Access appears gated behind a sales or demo flow.,https://monday.com
